"Name","Article_Number","Origin","Category","Brand","Alcohol","Price","Volume","PackagingType","Manufacturer","New_Year","Region","District","Grapes"
"Los Gansos Cabernet Sauvignon","2479714","Chile","vin","Cono Sur","13,00","78,90","0,75","","Cono Sur","2017","Valle Central","","Cabernet Sauvignon 100%"
"Tahbilk 1860 Vines Shiraz","2486224","Australien","vin","Tahbilk","13,50","848,00","0,75","","Tahbilk","","Central Victoria","Nagambie Lakes","Shiraz 100%"
"Tahbilk Cabernet Sauvignon","2486014","Australien","vin","Tahbilk","14,00","126,00","0,75","","Tahbilk","","Central Victoria","Nagambie Lakes","Cabernet Sauvignon 100%"
"Cono Sur Bícicleta Viognier","2458314","Chile","vin","Cono Sur","13,50","82,90","0,75","","Cono Sur","","Valle Central","Colchagua Valley","Viognier 100%"
"Cono Sur Cabernet Sauvignon Carmenère Syrah EKO","2463514","Chile","vin","Cono Sur","14,00","83,90","0,75","","Cono Sur","2011","Colchagua Valley , Limari Valley","Colchagua Valley","Cabernet Sauvignon 49%, Carmenère 26%, Syrah 25%"
"La Trilla Sauvignon Blanc","2535931","Chile","vin","Cono Sur","12,50","45,80","1,00","","Cono Sur","2014:1","Valle Central","Curico Valley","Sauvignon Blanc 100%"
"Cono Sur Reserva Especial Pinot Noir","2485714","Chile","vin","Cono Sur","13,50","89,40","0,75","","Cono Sur","","Aconcagua","","Pinot Noir"
"Single Vineyard Sauvignon Blanc","2556714","Chile","vin","Cono Sur","12,00","103,70","0,75","","Cono Sur","2017","Casablanca Valley","","Sauvignon Blanc 100%"
"Cono Sur Reserva Especial Sauvignon Blanc","2473514","Chile","vin","Cono Sur","13,00","86,40","0,75","","Cono Sur","","Casablanca Valley","El Centinella","Sauvignon Blanc"
"Cono Sur Bícicleta Pinot Noir","2457914","Chile","vin","Cono Sur","14,00","82,90","0,75","","Cono Sur","","Valle Central","","Pinot Noir 100%"
"Baron Trenck 6,0","2144112","Tjeckien","öl","Starobrno","6,00","26,54","0,50","","Starobrno","","","",""
"Los Gansos Chardonnay","2464214","Chile","vin","Cono Sur","13,00","78,90","0,75","","Cono Sur","2017","Valle Central","","Chardonnay 100%"
"Stolichnaya Vodka","2717923","","sprit","Stolichnaya","38,00","206,00","0,70","","Stolichnaya","2010","","",""
"Tocornal Cabernet Sauvignon","2470014","Chile","vin","Cono Sur","12,00","61,90","0,75","","Cono Sur","","Valle Central","","Cabernet Sauvignon 100%"
"Sancerre Rouge","2526414","Frankrike","vin","Domaine La Croix St-Laurent","14,00","143,00","0,75","","Domaine La Croix St-Laurent","2014","Loire","AOC Sancerre","Pinot Noir 100%"
"Sancerre Blanc","2526314","Frankrike","vin","Domaine La Croix St-Laurent","13,00","143,00","0,75","","Domaine La Croix St-Laurent","2014","Loire","AOC Sancerre","Sauvignon Blanc 100%"
"Spendrups Bryggeri Bright 5,0","1148223","","öl","Spendrups Bryggeri","5,00","22,78","0,50","","Spendrups Bryggeri","","","",""
"Starobrno 5,0","2131711","Tjeckien","öl","Starobrno","5,00","19,21","0,33","","Starobrno","","","",""
"Strongbow","2713611","Storbritannien","cider","Strongbow","5,00","20,63","0,33","","Strongbow","2010","","",""
"Starobrno 5,0","1132991","Tjeckien","öl","Starobrno","5,00","1596,77","30,00","","Starobrno","","","",""
"Guldkällan 5,0","1159601","Sverige","öl","Spendrups Bryggeri","5,00","19,69","0,50","","Spendrups Bryggeri","2015","","",""
"Bistro Lager 4,2","1151211","Sverige","öl","Spendrups Bryggeri","4,20","14,72","0,33","","Spendrups Bryggeri","","","",""
"Schweppes Mojito","1374140","","läsk","Spendrups Bryggeri","0,00","11,03","0,50","","Spendrups Bryggeri","2017","","",""
"The Ginger Beer  Project by Liquid Industries","1730711","","fab","Spendrups Bryggeri","4,50","18,12","0,33","","Spendrups Bryggeri","2018","","",""
